post_id,title,category,score,num_comments,author,collected_at
47640728,Show HN: A game where you build a GPU,technology,756,158,Jaso1024,2026-04-05 15:39:11.293483
47645432,Introduction to Computer Music (2009) [pdf],technology,157,52,luu,2026-04-05 15:39:13.713532
47640875,"LLM Wiki – example of an ""idea file""",technology,193,59,tamnd,2026-04-05 15:39:18.633242
47587089,"Zml-smi: universal monitoring tool for GPUs, TPUs and NPUs",technology,44,7,steeve,2026-04-05 15:39:25.538950
47613118,Show HN: I built a small app for FSI German Course,entertainment,33,10,syedmsawaid,2026-04-05 15:39:32.055712
47645025,"Show HN: Contrapunk – Real-time counterpoint harmony from guitar input, in Rust",entertainment,71,28,waveywaves,2026-04-05 15:39:36.089341
47639779,"Show HN: sllm – Split a GPU node with other developers, unlimited tokens",technology,159,78,jrandolf,2026-04-05 15:39:41.055406
47639303,"Show HN: I made open source, zero power PCB hackathon badges",entertainment,105,10,kaipereira,2026-04-05 15:39:43.311116
47642601,Show HN: M. C. Escher spiral in WebGL inspired by 3Blue1Brown,entertainment,82,12,laszlokorte,2026-04-05 15:39:52.831255
47646504,Show HN: OsintRadar – Curated directory for osint tools,entertainment,7,1,lexalizer,2026-04-05 15:39:56.622975
47640380,Apple approves driver that lets Nvidia eGPUs work with Arm Macs,technology,434,192,naves,2026-04-05 15:39:59.489597
47639567,Show HN: TurboQuant-WASM – Google's vector quantization in the browser,entertainment,154,6,teamchong,2026-04-05 15:40:04.120175
47637757,Embarrassingly simple self-distillation improves code generation,technology,598,180,Anon84,2026-04-05 15:40:06.966358
47606244,Training mRNA Language Models Across 25 Species for $165,technology,138,32,maziyar,2026-04-05 15:40:13.416674
47633396,Tell HN: Anthropic no longer allowing Claude Code subscriptions to use OpenClaw,technology,1049,797,firloop,2026-04-05 15:40:16.138215
47611993,VR Realizes the Cyberspace Metaphor,science,13,7,dryadin,2026-04-05 15:40:24.170747
47644726,"Power-washing, pool-cleaning and mowing – playing games about mundane jobs",sports,12,1,andsoitis,2026-04-05 15:40:28.539682
47645235,Brain scans reveal how to enters a psychedelic-like trance without drugs,technology,50,11,ingenika,2026-04-05 15:40:31.395552
47639727,"When legal sports betting surges, so do Americans' financial problems",sports,198,131,pseudolus,2026-04-05 15:40:45.775466
47633855,Claude Code Found a Linux Vulnerability Hidden for 23 Years,technology,396,246,eichin,2026-04-05 15:40:48.496246
47645468,Writing Lisp is AI resistant and I'm sad,technology,66,69,djha-skin,2026-04-05 15:40:54.723541
47645817,How Pope Leo is pushing back on divine justification of war,worldnews,25,13,1659447091,2026-04-05 15:41:00.972866
47641615,Sopwith – 1984 Game (2000),sports,93,41,elvis70,2026-04-05 15:41:03.763676
47616157,Software never had a soul,technology,17,15,firloop,2026-04-05 15:41:13.758373
47647038,An AI bot invited me to its party in Manchester. It was a pretty good night,technology,7,1,mellosouls,2026-04-05 15:41:24.586011
47625952,Show HN: I built a frontpage for personal blogs,entertainment,757,190,ramkarthikk,2026-04-05 15:41:32.686895
47621792,Post Mortem: axios NPM supply chain compromise,technology,278,131,JeanMeche,2026-04-05 15:41:40.655155
47642275,"Netflix must refund customers for years of price hikes, Italian court rules",entertainment,58,5,xbmcuser,2026-04-05 15:41:46.924710
47641788,Iranian missile blitz takes down AWS data centers in Bahrain and Dubai,technology,167,144,lschueller,2026-04-05 15:41:49.678074
47624645,Show HN: Apfel – The free AI already on your Mac,technology,718,146,franze,2026-04-05 15:41:55.716417
47633131,"Run Linux containers on Android, no root required",technology,212,82,politelemon,2026-04-05 15:42:01.780541
47618223,We replaced RAG with a virtual filesystem for our AI documentation assistant,technology,394,147,denssumesh,2026-04-05 15:42:08.071726
47633947,The FAA’s flight restriction for drones is an attempt to criminalize filming ICE,entertainment,533,180,detaro,2026-04-05 15:42:17.920861
47622616,The Technocracy Movement of the 1930s,technology,166,135,lazydogbrownfox,2026-04-05 15:42:20.660491
47638147,"Show HN: Pluck – Copy any UI from any website, paste it into AI coding tools",technology,16,12,bring-shrubbery,2026-04-05 15:42:23.534431
47645976,AI that copied musical artist files copyright claim against artist [updated],technology,58,14,josephcsible,2026-04-05 15:42:26.361080
47629485,A case study in testing with 100+ Claude agents in parallel,science,50,46,thejash,2026-04-05 15:42:32.785538
47633676,"Extra usage credit for Pro, Max, and Team plans",sports,64,60,angst,2026-04-05 15:42:35.518402
47612724,Lemonade by AMD: a fast and open source local LLM server using GPU and NPU,technology,564,113,AbuAssar,2026-04-05 15:43:02.893216
47632503,"Iran strikes leave Amazon availability zones ""hard down"" in Bahrain and Dubai",technology,238,118,upofadown,2026-04-05 15:43:05.631635
47633640,How to Write Unmaintainable Code (1999),technology,51,16,downbad_,2026-04-05 15:43:09.937700
47617376,OpenAI Acquires TBPN,technology,238,190,surprisetalk,2026-04-05 15:43:12.673440
47615490,Artemis computer running two instances of MS outlook; they can't figure out why,technology,492,358,mooreds,2026-04-05 15:43:18.973480
47645240,SpaceX Pushes Back Crucial Starship Test Launch,science,11,5,bookmtn,2026-04-05 15:43:27.977721
47626598,Show HN: ctx – an Agentic Development Environment (ADE),entertainment,48,52,luca-ctx,2026-04-05 15:43:30.742824
